"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu May 18 00:22:31 ICT 2023","Thu May 18 00:22:38 ICT 2023","6340","","Sign Up Test Suite","","","","should sign up fail password",""
"broken","Thu May 18 00:21:46 ICT 2023","Thu May 18 00:21:47 ICT 2023","1044","","Delete Match Test Suite","","","","DeleteMatch2",""
"broken","Thu May 18 00:21:08 ICT 2023","Thu May 18 00:21:46 ICT 2023","37840","","DeleteVideo Test Suite","","","","Logged in successfully",""
"broken","Thu May 18 00:20:31 ICT 2023","Thu May 18 00:20:34 ICT 2023","3372","","Add Video","","","","should Add AddVideo Success no add logo",""
"broken","Thu May 18 00:21:46 ICT 2023","Thu May 18 00:22:00 ICT 2023","13746","","DeleteVideo Test Suite","","","","DeleteVideo1",""
"broken","Thu May 18 00:21:27 ICT 2023","Thu May 18 00:22:00 ICT 2023","32986","","DownloadVideo Test Suite","","","","Logged in successfully",""
"passed","Thu May 18 00:20:18 ICT 2023","Thu May 18 00:20:25 ICT 2023","6815","","Sign in Test Suite","","","","Login to the wrong account",""
"broken","Tue May 16 00:29:13 ICT 2023","Tue May 16 00:29:31 ICT 2023","18682","","Add Video","","","","should Search Video successfully",""
"broken","Thu May 18 00:22:02 ICT 2023","Thu May 18 00:22:22 ICT 2023","19971","","Sign Up Test Suite","","","","should sign up successfully",""
"passed","Thu May 18 00:22:34 ICT 2023","Thu May 18 00:22:51 ICT 2023","17537","","UpLoadVideo Test Suite","","","","UpLoadVideo",""
"broken","Thu May 18 00:20:29 ICT 2023","Thu May 18 00:20:40 ICT 2023","10712","","Add Match","","","","should Add Match Miss MatchName",""
"broken","Thu May 18 00:21:26 ICT 2023","Thu May 18 00:21:48 ICT 2023","21494","","Sign In Test Suite","","","","should sign in successfully",""
"broken","Thu May 18 00:22:00 ICT 2023","Thu May 18 00:22:16 ICT 2023","16512","","DownloadVideo Test Suite","","","","DownloadVideo",""
"passed","Wed May 17 23:48:23 ICT 2023","Wed May 17 23:48:28 ICT 2023","4374","","Sign in Test Suite","","","","Login with wrong password",""
"passed","Wed May 17 23:48:28 ICT 2023","Wed May 17 23:48:31 ICT 2023","3518","","Sign in Test Suite","","","","Login to the wrong account",""
"passed","Thu May 18 00:20:40 ICT 2023","Thu May 18 00:20:55 ICT 2023","15345","","Add Match","","","","should Add Match 2",""
"broken","Thu May 18 00:19:39 ICT 2023","Thu May 18 00:20:17 ICT 2023","37784","","Add Video","","","","should Add AddVideo successfully",""
"broken","Thu May 18 00:20:18 ICT 2023","Thu May 18 00:20:22 ICT 2023","4490","","Add Video","","","","should Add AddVideo successfully SameName",""
"passed","Thu May 18 00:20:25 ICT 2023","Thu May 18 00:20:28 ICT 2023","2698","","Sign in Test Suite","","","","Logged in successfully",""
"broken","Wed May 17 23:29:10 ICT 2023","Wed May 17 23:29:10 ICT 2023","1","","Sign in Test Suite","","","","Logged in successfully",""
"broken","Wed May 17 23:29:10 ICT 2023","Wed May 17 23:29:10 ICT 2023","1","","Sign in Test Suite","","","","Login with wrong password",""
"broken","Wed May 17 23:29:10 ICT 2023","Wed May 17 23:29:10 ICT 2023","1","","Sign in Test Suite","","","","Login to the wrong account",""
"broken","Thu May 18 00:21:44 ICT 2023","Thu May 18 00:21:46 ICT 2023","2170","","Delete Match Test Suite","","","","DeleteMatch1",""
"passed","Thu May 18 00:20:55 ICT 2023","Thu May 18 00:21:10 ICT 2023","14584","","Add Match","","","","should Add Match Same Match ",""
"passed","Thu May 18 00:20:03 ICT 2023","Thu May 18 00:20:18 ICT 2023","14725","","Sign in Test Suite","","","","Login with wrong password",""
"passed","Thu May 18 00:19:39 ICT 2023","Thu May 18 00:20:03 ICT 2023","24355","","Sign in Test Suite","","","","Login with wrong username",""
"broken","Thu May 18 00:22:00 ICT 2023","Thu May 18 00:22:10 ICT 2023","10373","","DeleteVideo Test Suite","","","","DeleteVideo2",""
"passed","Thu May 18 00:22:43 ICT 2023","Thu May 18 00:22:43 ICT 2023","6","","Sign Up Test Suite","","","","should sign up fail passwordConfirm",""
"broken","Wed May 17 23:28:54 ICT 2023","Wed May 17 23:29:10 ICT 2023","15803","","Sign in Test Suite","","","","Login with wrong username",""
"broken","Thu May 18 00:20:28 ICT 2023","Thu May 18 00:20:31 ICT 2023","3127","","Add Video","","","","should Add AddVideo Success not add logo",""
"passed","Wed May 17 23:48:14 ICT 2023","Wed May 17 23:48:23 ICT 2023","9939","","Sign in Test Suite","","","","Login with wrong username",""
"broken","Thu May 18 00:21:08 ICT 2023","Thu May 18 00:21:44 ICT 2023","35694","","Delete Match Test Suite","","","","Logged in successfully",""
"broken","Thu May 18 00:19:39 ICT 2023","Thu May 18 00:20:19 ICT 2023","39606","","Add Match","","","","should Add Match successfully",""
"broken","Thu May 18 00:20:19 ICT 2023","Thu May 18 00:20:29 ICT 2023","10155","","Add Match","","","","should Add Match Miss Leaguename",""
"broken","Thu May 18 00:22:27 ICT 2023","Thu May 18 00:22:31 ICT 2023","4510","","Sign Up Test Suite","","","","should sign up fail email",""
"passed","Thu May 18 00:21:10 ICT 2023","Thu May 18 00:21:37 ICT 2023","26650","","UpLoadVideo Test Suite","","","","Logged in successfully",""
"broken","Thu May 18 00:20:22 ICT 2023","Thu May 18 00:20:28 ICT 2023","5628","","Add Video","","","","should Add AddVideo Fail Add Title",""
"broken","Thu May 18 00:22:22 ICT 2023","Thu May 18 00:22:27 ICT 2023","4556","","Sign Up Test Suite","","","","should sign up failUsename",""
"passed","Wed May 17 23:48:31 ICT 2023","Wed May 17 23:48:35 ICT 2023","3357","","Sign in Test Suite","","","","Logged in successfully",""
"broken","Thu May 18 00:20:22 ICT 2023","Thu May 18 00:20:26 ICT 2023","4476","","Add Video","","","","should Search Video successfully",""
